"LAST.NAME","FIRST.NAME","DOB","POB","SSN","SEX","STREET.NUMBER","STREET.NAME","VOTER.REG.DATE","PARTY"
"SMITH","ALEX","6215","ALDERWOOD","970-18-7974","MALE",1355,"ANGORA",1935-01-01,"DEMOCRAT"
"JOHNSON","BONNIE","5851","ALDERWOOD","228-59-7899","FEMALE",1773,"SECOND",1935-01-02,"DEMOCRAT"
"WILLIAMS","CHARLEY","4787","UTAH","176-01-4411","MALE",155,"BRITTANY",1935-01-03,"DEMOCRAT"
"JONES","DANIELLE","5788","ALDERWOOD","624-29-3132","FEMALE",13,"COLLIE",1935-01-04,"DEMOCRAT"
"BROWN","EARL","5854","PENNSYLVANIA","882-79-8502","MALE",671,"SAGUARO",1935-01-05,"REPUBLICAN"
"DAVIS","FRANCES","5290","ALDERWOOD","300-35-7744","MALE",392,"CORNISH",1935-01-06,"REPUBLICAN"
"MILLER","GASTON","8-Apr-34","OREGON","894-63-4526","MALE",37,"EIGHTEENTH",1935-01-07,"REPUBLICAN"
"WILSON","HERMINE","6222","NEW HAMPSHIRE","881-69-6163","FEMALE",350,"FOXGLOVE",1935-01-08,"REPUBLICAN"
"MOORE","IVAN","5293","KENTUCKY","587-21-5613","MALE",219,"FIFTEENTH",1935-01-09,"REPUBLICAN"
"TAYLOR","JEANNE","4794","ALDERWOOD","742-42-4294","FEMALE",644,"DOGWOOD",1935-01-10,"REPUBLICAN"
"AABERG","KARL","5795","ALDERWOOD","913-29-2598","MALE",591,"BLACKBERRY",1935-01-11,"REPUBLICAN"
"ABBOTT","LISA","4796","ALDERWOOD","935-38-7025","FEMALE",1456,"KEESHOND",1935-01-12,"INDEPENDENT"
"ACE","MATTHEW","4797","ALDERWOOD","281-95-7520","MALE",1113,"BOXWOOD",1935-01-13,"DEMOCRAT"
"ACKERMAN","NICOLE","5798","ALDERWOOD","904-24-1973","FEMALE",1337,"BORZOI",1935-01-14,"DEMOCRAT"
"ADAMS","OTTO","4799","UTAH","179-13-8618","MALE",181,"SWEET PEA",1935-01-15,"DEMOCRAT"
"ADDLEMAN","PAULA","3800","NORTH CAROLINA","486-74-4181","FEMALE",186,"MARIGOLD",1935-01-16,"DEMOCRAT"
"ADKINS","RICHARD","4301","ALDERWOOD","856-14-8308","MALE",3031,"DOGWOOD",1935-01-17,"DEMOCRAT"
"ALEXANDER","SHARY","4802","UTAH","470-68-8153","FEMALE",1060,"BARREL",1935-01-18,"REPUBLICAN"
"AKER","TOMAS","4803","IDAHO","196-51-7071","MALE",230,"LABRADOR",1935-01-19,"REPUBLICAN"
"ALLEN","VIRGINIA","5804","CALIFORNIA","220-14-5306","FEMALE",245,"BLACKBERRY",1935-01-20,"REPUBLICAN"
"ALLWINE","WALTER","4805","MONTANA","782-72-5402","MALE",4,"POODLE",1935-01-21,"REPUBLICAN"
"AMAN","ARLENE","28246","ARIZONA","626-91-5598","FEMALE",130,"JAVANESE",1935-01-22,"REPUBLICAN"
"BACHELOR","BRET","5307","WASHINGTON","579-86-3368","MALE",883,"SPRUCE",1935-01-23,"REPUBLICAN"
"BACON","CINDY","5808","ALDERWOOD","301-19-4781","FEMALE",2051,"CRANBERRY",1935-01-24,"REPUBLICAN"
